qid	cid	question_category	question_subject	question	comment	comment_gold
Q29	Q29_C3	Sightseeing and Tourist attractions	Anyone who has a printable map of Doha?	It is very hard to find in the internet, even here in QL I could not find a Doha Map. Anyone who has Doha map that I can print? Or at least an internet link.	the Qatar guidebook called Marhaba has an excellent map (although it's hard to keep maps here updated as there is always lots of construction and you don't know when the road you used yesterday will close or disappear). The Doha Ritz hotel stocks the same maps for guests, I bet if you went to the Ritz in KL they would have one inter-officed to you! Good luck!	Good
Q29	Q29_C4	Sightseeing and Tourist attractions	Anyone who has a printable map of Doha?	It is very hard to find in the internet, even here in QL I could not find a Doha Map. Anyone who has Doha map that I can print? Or at least an internet link.	got mine from marhaba.... its great!	Good
Q29	Q29_C5	Sightseeing and Tourist attractions	Anyone who has a printable map of Doha?	It is very hard to find in the internet, even here in QL I could not find a Doha Map. Anyone who has Doha map that I can print? Or at least an internet link.	u can download from http://www.explore-qatar.com/downloads/Maps/ ok	Good
Q30	Q30_C2	Qatar Living Lounge	Does anywhere in qatar sell pineapple juice	Searching high and low for pineapple juice not concentrated rubbish can find it anywhere . Pleaee guys accept this mission	better make it at home :)	Bad
Q30	Q30_C3	Qatar Living Lounge	Does anywhere in qatar sell pineapple juice	Searching high and low for pineapple juice not concentrated rubbish can find it anywhere . Pleaee guys accept this mission	"Buy only this brand ""Del Monte Pineapple"" it's 100% pure and fresh and no artificial flavors. It's stored in a big can."	Bad
Q30	Q30_C5	Qatar Living Lounge	Does anywhere in qatar sell pineapple juice	Searching high and low for pineapple juice not concentrated rubbish can find it anywhere . Pleaee guys accept this mission	I would recommend Del Monte Pineapple juice available in most hypermarket and Kabayan Stores.	Good
Q31	Q31_C5	Socialising	North Indian group for families to socialize	there seem to be groups for all communities here. Is there any for north indian families ? If not, then lets make one ? Anybody interested ?	Indian group then we go north indian group now we go north indian ladies group - what next - noth indian ladies less then 5 feet 6 inches group?????	Good
Q31	Q31_C7	Socialising	North Indian group for families to socialize	there seem to be groups for all communities here. Is there any for north indian families ? If not, then lets make one ? Anybody interested ?	I was just tryin to say we are all expats here so why keep dividing all the way - eventually we'll all end up where we started - alone with no one to advise!!	Bad
Q35	Q35_C1	Doha Shopping	For the ladies	Please help me....I am looking to buy a wet grinder in Doha.... Can anyone who has purchased one from here give me the Make and Model no..... something small for the table-top and with no other attachments as i have everything else......	"I used to know someone affectionately nicknamed ""wet grinder""................Memories :)"	Bad
Q35	Q35_C2	Doha Shopping	For the ladies	Please help me....I am looking to buy a wet grinder in Doha.... Can anyone who has purchased one from here give me the Make and Model no..... something small for the table-top and with no other attachments as i have everything else......	"you Indian call""MIXI""?That is available in all ffc,lulu and dasman centre.Hope it'll help."	Good
Q35	Q35_C3	Doha Shopping	For the ladies	Please help me....I am looking to buy a wet grinder in Doha.... Can anyone who has purchased one from here give me the Make and Model no..... something small for the table-top and with no other attachments as i have everything else......	"Leelah Mixi..lol is different from grinder... Mixi/blender is used to grind and also make powders as well...but in wet grinder...we can make all sort of batters...it can be used only for grinding more quantity.. <a href=""http://photobucket.com/images/funny"" target=""_blank""><img src=""http://i244.photobucket.com/albums/gg12/N-A-T-A-S-J-A/Funny/smile.gif"" border=""0"" alt=""smile Pictures, Images and Photos""/></a>"	Good
Q35	Q35_C4	Doha Shopping	For the ladies	Please help me....I am looking to buy a wet grinder in Doha.... Can anyone who has purchased one from here give me the Make and Model no..... something small for the table-top and with no other attachments as i have everything else......	Check in LULU 3 models are available <pre> <p> &#160; </p> <p> &#160; </p> <p> &#160; </p> <p> [img_assist|nid=50852|title=hmm|desc=|link=none|align=left|width=|height=0] </p> </pre>	Good
Q35	Q35_C5	Doha Shopping	For the ladies	Please help me....I am looking to buy a wet grinder in Doha.... Can anyone who has purchased one from here give me the Make and Model no..... something small for the table-top and with no other attachments as i have everything else......	"Look at FS suddenly trying to show everyone her vast knowledge of the kitchen and its tools. Go learn to cook as good as your mother in law first! :p Good Fortune always comes knocking at your door...when you are sh*tting in the toilet!! :) <p> _[]~<strong>SMoKE</strong>~[]_ </p><p> <img src=""http://www.skamu.com/icons/animated/images/icon41.gif"""	Bad
Q35	Q35_C6	Doha Shopping	For the ladies	Please help me....I am looking to buy a wet grinder in Doha.... Can anyone who has purchased one from here give me the Make and Model no..... something small for the table-top and with no other attachments as i have everything else......	"Smokey you want a demonstration? and free sample Idli ..dosa etc..lol <a href=""http://photobucket.com/images/funny"" target=""_blank""><img src=""http://i244.photobucket.com/albums/gg12/N-A-T-A-S-J-A/Funny/smile.gif"" border=""0"" alt=""smile Pictures, Images and Photos""/></a>"	Bad
Q35	Q35_C7	Doha Shopping	For the ladies	Please help me....I am looking to buy a wet grinder in Doha.... Can anyone who has purchased one from here give me the Make and Model no..... something small for the table-top and with no other attachments as i have everything else......	"She used terms like ..""we can"" or ""can be used"" She didn't say she does use.."	Bad
Q35	Q35_C8	Doha Shopping	For the ladies	Please help me....I am looking to buy a wet grinder in Doha.... Can anyone who has purchased one from here give me the Make and Model no..... something small for the table-top and with no other attachments as i have everything else......	"Yep brit which is why i said she only has knowledge about it and i'm sure never seen or used one before :p FS i thought you'd never ask about free samples, my tricks always work..tell me when i should come over :D Good Fortune always comes knocking at your door...when you are sh*tting in the toilet!! :) <p> _[]~<strong>SMoKE</strong>~[]_ </p><p> <img src=""http://www.skamu.com/icons/animated/images/icon41.gif"""	Bad
Q35	Q35_C9	Doha Shopping	For the ladies	Please help me....I am looking to buy a wet grinder in Doha.... Can anyone who has purchased one from here give me the Make and Model no..... something small for the table-top and with no other attachments as i have everything else......	wet grinders are available at M P Traders. M PT is the main shop selling wet grinders in Doha . mine I brought from India 5 years back.	Good
Q35	Q35_C10	Doha Shopping	For the ladies	Please help me....I am looking to buy a wet grinder in Doha.... Can anyone who has purchased one from here give me the Make and Model no..... something small for the table-top and with no other attachments as i have everything else......	"<a href=""http://tinypic.com"" target=""_blank""><img src=""http://images.indiaplaza.in/Stores/lg/images/tilting-1.jpg"" border=""0"" alt=""/""> . . <b>:P</b> . . <b>You can't have a light without a dark to stick it in!</b>"	Bad
Q35	Q35_C11	Doha Shopping	For the ladies	Please help me....I am looking to buy a wet grinder in Doha.... Can anyone who has purchased one from here give me the Make and Model no..... something small for the table-top and with no other attachments as i have everything else......	thanks drac!! now what, how and why is it used?????	Bad
Q35	Q35_C12	Doha Shopping	For the ladies	Please help me....I am looking to buy a wet grinder in Doha.... Can anyone who has purchased one from here give me the Make and Model no..... something small for the table-top and with no other attachments as i have everything else......	"<a href=""http://tinypic.com"" target=""_blank""><img src=""http://i41.tinypic.com/oi56k2.jpg"" border=""0"" alt=""/""> . . <b>geez..i am a Drac not EINSTEIN! :p</b> . . <b>You can't have a light without a dark to stick it in!</b>"	Bad
Q35	Q35_C14	Doha Shopping	For the ladies	Please help me....I am looking to buy a wet grinder in Doha.... Can anyone who has purchased one from here give me the Make and Model no..... something small for the table-top and with no other attachments as i have everything else......	"u are absolutely right....i shud have said ""indian ladies"".....going to change it now..... :)"	Bad
Q35	Q35_C15	Doha Shopping	For the ladies	Please help me....I am looking to buy a wet grinder in Doha.... Can anyone who has purchased one from here give me the Make and Model no..... something small for the table-top and with no other attachments as i have everything else......	Answers on the back of a stamp please. I will hoist that up the flag pole and see who salutes it!!	Bad
Q35	Q35_C16	Doha Shopping	For the ladies	Please help me....I am looking to buy a wet grinder in Doha.... Can anyone who has purchased one from here give me the Make and Model no..... something small for the table-top and with no other attachments as i have everything else......	I want one then ;-)))) I will hoist that up the flag pole and see who salutes it!!	Bad
Q35	Q35_C17	Doha Shopping	For the ladies	Please help me....I am looking to buy a wet grinder in Doha.... Can anyone who has purchased one from here give me the Make and Model no..... something small for the table-top and with no other attachments as i have everything else......	"<a href=""http://tinypic.com"" target=""_blank""><img src=""http://i41.tinypic.com/oi56k2.jpg"" border=""0"" alt=""/""> . . <b>gosh...""a feckin' blender?"" ..back in my coffin then...:(</b> . . <b>You can't have a light without a dark to stick it in!</b>"	Bad
Q35	Q35_C18	Doha Shopping	For the ladies	Please help me....I am looking to buy a wet grinder in Doha.... Can anyone who has purchased one from here give me the Make and Model no..... something small for the table-top and with no other attachments as i have everything else......	its not a blender you fool......thats why i said ladies....they wud know the difference!!!!	Bad
Q35	Q35_C19	Doha Shopping	For the ladies	Please help me....I am looking to buy a wet grinder in Doha.... Can anyone who has purchased one from here give me the Make and Model no..... something small for the table-top and with no other attachments as i have everything else......	And stop hijacking my thread.....enough....looking for some useful information here!!!!	Bad
Q35	Q35_C20	Doha Shopping	For the ladies	Please help me....I am looking to buy a wet grinder in Doha.... Can anyone who has purchased one from here give me the Make and Model no..... something small for the table-top and with no other attachments as i have everything else......	for information.	Bad
Q36	Q36_C3	Qatar Living Lounge	Looking for a therapist in Doha	Hi, I was wondering if anyone knows of a decent therapist in Doha. I realize that therapy is probably a western concept but with such a large expat community there must be some floating around. Many thanks for your help.	"Now we're talkin'... :D ""Just because it is... IT DOESN'T MEAN IT SHOULD BE.. """	Bad
Q36	Q36_C4	Qatar Living Lounge	Looking for a therapist in Doha	Hi, I was wondering if anyone knows of a decent therapist in Doha. I realize that therapy is probably a western concept but with such a large expat community there must be some floating around. Many thanks for your help.	hi i am shadi i am a psychotherapist ad i am working in doha this is my # 33179773	Good
Q38	Q38_C1	Electronics	PS3 / XBox 360 / Wii Nintendo	I want to buy either a PS3, XBox 360 or Wii. Please suggest me which one is good and why?	I suggest PS3 .. its a complete entertainment station, not only for gaming but also for: *watching DIVX movies and Bluray and many other format. *Store your photos on the system and view them with a nifty album format .. *Connect to your PC for sharing *Connect to your PSP if you have one *Play MP3 and other format songs and many more ... An do not forget the variety of awesome games on the shelves now, and some popular ones are under discounted price. Just my opinion Regards	Good
Q38	Q38_C4	Electronics	PS3 / XBox 360 / Wii Nintendo	I want to buy either a PS3, XBox 360 or Wii. Please suggest me which one is good and why?	ps3 cuz not alot of ppl buy xbox in qatar...ps3 free network xbox u have to pay monthly or by year	Good
Q38	Q38_C5	Electronics	PS3 / XBox 360 / Wii Nintendo	I want to buy either a PS3, XBox 360 or Wii. Please suggest me which one is good and why?	hi buy ps3 becoz the most popular games like GOD OF WAR TEKKEN KILLZON....etc r only in sony means only in playstation	Good
Q40	Q40_C1	Moving to Qatar	Are there any companies in Qatar that hire out Baby Furniture and Car Seats?	We are moving to Qatar but shipping of all our belongings won't arrive for nearly 5 weeks after we do. We can't decide if it's best to pay excess bagage and bring items like child port-a-cot and car seat with us or put in shipping. Is there a company in Qatar that do short term hiring out of items including cots, car seats, high chairs etc?	i saw the same in Lulu / carrefour	Bad
Q40	Q40_C2	Moving to Qatar	Are there any companies in Qatar that hire out Baby Furniture and Car Seats?	We are moving to Qatar but shipping of all our belongings won't arrive for nearly 5 weeks after we do. We can't decide if it's best to pay excess bagage and bring items like child port-a-cot and car seat with us or put in shipping. Is there a company in Qatar that do short term hiring out of items including cots, car seats, high chairs etc?	Hi Airlines will not charge you extra for a car seat and travel cot. I have travelled the UK, South Africa and Switzerland and I have always been able to take my stroller, car seat and travel cot with me at no extra charge. Phone the airline and find out!	Good
Q40	Q40_C4	Moving to Qatar	Are there any companies in Qatar that hire out Baby Furniture and Car Seats?	We are moving to Qatar but shipping of all our belongings won't arrive for nearly 5 weeks after we do. We can't decide if it's best to pay excess bagage and bring items like child port-a-cot and car seat with us or put in shipping. Is there a company in Qatar that do short term hiring out of items including cots, car seats, high chairs etc?	Oh - and to answer your question (sorry 'bout that!) I am not aware of any companies that hire them out. Car seats, in particular, are generally not used outside of the expatriate crowd. :( You can find what you need at the City Center Babyshop store, but depending on your luggage situation it might just make sense to bring it with you.	Good
Q53	Q53_C1	Visas and Permits	employment band	help!!who is imposing a 2 yrs band?company or immigration?like in my case i resigned from work,my visa is expired but the company gave me a release,if i will go back to my country will i have an employment band???and needs to wait for 2 yrs to finish to enter doha again?	From what I know, you will be ban from Qatar if your employment did not give a release and you will have to wait for at least two years to go back to Qatar.	Good
Q53	Q53_C2	Visas and Permits	employment band	help!!who is imposing a 2 yrs band?company or immigration?like in my case i resigned from work,my visa is expired but the company gave me a release,if i will go back to my country will i have an employment band???and needs to wait for 2 yrs to finish to enter doha again?	if you get the no objection certificate from current sponsor u can enter in doha with valid visa	Good
Q53	Q53_C4	Visas and Permits	employment band	help!!who is imposing a 2 yrs band?company or immigration?like in my case i resigned from work,my visa is expired but the company gave me a release,if i will go back to my country will i have an employment band???and needs to wait for 2 yrs to finish to enter doha again?	If u hv NOC U can come, make sure you Get ur RP cancelled by your current company before leaving, make sure you have not crossed 3 months of Expiry of RP. Why don't you get sponsorship changed since U have release. GOOD LUCK!!!	Good
Q56	Q56_C1	Life in Qatar	is it truth that they will sent you to jail if the police caught you dating with someone?	i mean if they caught you dating someone who is not your husband or wife?	Dating isn't an issue, its having a sexual relationship that is the issue. I think jail would come into it if one of the parties was married. Still, could be worse, its stoning in some other countries!	Good
Q56	Q56_C2	Life in Qatar	is it truth that they will sent you to jail if the police caught you dating with someone?	i mean if they caught you dating someone who is not your husband or wife?	well yes, if they find you kissing or _____ in public or even in room (if some one saw you and complain) so better be careful. dating is not a issue, doing something nasty will bring trouble for you. so Ms strawberry, u can go for date ...	Good
Q56	Q56_C3	Life in Qatar	is it truth that they will sent you to jail if the police caught you dating with someone?	i mean if they caught you dating someone who is not your husband or wife?	haha....guess ur in shit ...why did u do this ?	Bad
Q60	Q60_C1	Advice and Help	What to call my cat?	"I recently came home with a Puddy Tat from Qaws and cant think of a name. Its a male. Can someone tell me what ""cat""is in arabic please?"	"have you got a name already? <a href=""http://www.yescomments.com"" title=""MySpace Comments""><img src=""http://i107.photobucket.com/albums/m282/pure100/com2/smile/smile007.gif"" border=""0"" alt=""myspace comments""></a>"	Bad
Q60	Q60_C2	Advice and Help	What to call my cat?	"I recently came home with a Puddy Tat from Qaws and cant think of a name. Its a male. Can someone tell me what ""cat""is in arabic please?"	Be different. I will hoist that up the flag pole and see who salutes it!!	Bad
Q65	Q65_C1	Salary and Allowances	Is 14500 qar good salary	Hi All, I got a job offer from qatar they are offering me 14500 per month and 4000 bonus that would be paid quarterly. This is way more than what I get in India .But do you think this is a good salary in Qatar . I am married and my wife would join me.How much would I be able to save on average a month. Thank you in advance.	14,500 is a good salary and the bonus is a plus, u will be paying the rent per month for a 2 Bedroom fully furnished apartment between 7000 to 8000 QR, around 300 for water and electricity bills, then monthly budget for groceries approx. 1000 to 1500. so all in all maximum 10,000 QR, so will be saving around 5,000QR at least.u can save more depending on the life style u choose. life in qatar is good, peaceful, free of worries. so don't worry take a chance , its a good opportunity.	Good
Q65	Q65_C2	Salary and Allowances	Is 14500 qar good salary	Hi All, I got a job offer from qatar they are offering me 14500 per month and 4000 bonus that would be paid quarterly. This is way more than what I get in India .But do you think this is a good salary in Qatar . I am married and my wife would join me.How much would I be able to save on average a month. Thank you in advance.	You can find 1BHK semi furnished brand new flats including water and electricity in Doha at Qrs 3500-4000 per month. Grocery, 1000- 1500 Qrs. Petrol and other maintenances, 300-500 if you have an economy car in good condition. Telephone and internet, 250-500. So total monthly expense will come around 6500 - 7000 maximum. You can save half of your salary if you have a good plan. Good luck go ahead this is a good job offer if the company and project is real.	Good
Q65	Q65_C3	Salary and Allowances	Is 14500 qar good salary	Hi All, I got a job offer from qatar they are offering me 14500 per month and 4000 bonus that would be paid quarterly. This is way more than what I get in India .But do you think this is a good salary in Qatar . I am married and my wife would join me.How much would I be able to save on average a month. Thank you in advance.	For single it is okay. But for married you won't be saving anything. 1000-1500 living expenses is good for one person only. House rent and food will eat most of your salary. Transportation or car maintenance and education fees is an additional burden to your meagre salary.	Good
Q65	Q65_C6	Salary and Allowances	Is 14500 qar good salary	Hi All, I got a job offer from qatar they are offering me 14500 per month and 4000 bonus that would be paid quarterly. This is way more than what I get in India .But do you think this is a good salary in Qatar . I am married and my wife would join me.How much would I be able to save on average a month. Thank you in advance.	Yes it's more than good and you don't have a family so easily you can pay your home rent and your car Car payments , the rest of your salary you can do some shopping and spend a good time with friends	Good
Q66	Q66_C2	Moving to Qatar	Car Transfer	One of my friend is on visit visa in Qatar, he got permanent Qatari Driving license, can he buy car on his name though he dont have Residence visa?	cherukkan, He might have got the temporary DL and is confused. They will not issue Permanent DL without RP and ID. A person on visit visa will not have a Permanent DL of Qatar and will not be able to buy a car.	Good
Q66	Q66_C3	Moving to Qatar	Car Transfer	One of my friend is on visit visa in Qatar, he got permanent Qatari Driving license, can he buy car on his name though he dont have Residence visa?	please get your facts straight as you cannot get a Permanent Drivers License without an RP. The license is link to your QID and bear the same number.	Good
Q66	Q66_C4	Moving to Qatar	Car Transfer	One of my friend is on visit visa in Qatar, he got permanent Qatari Driving license, can he buy car on his name though he dont have Residence visa?	the license is connected to the Qatari ID.. if the visa is cancelled the license will have no meaning as well.. he is driving at his own risk similar to not having a license.. if he gets a new sponsor and gets a new qatari id he will again need to apply for a new license to be linked to that new ID.	Good
Q66	Q66_C5	Moving to Qatar	Car Transfer	One of my friend is on visit visa in Qatar, he got permanent Qatari Driving license, can he buy car on his name though he dont have Residence visa?	Dohamarketing is right. You don't need a Driving License to buy a car but you need an RP to buy a car. His Driving License is invalid as his visa was cancelled and he should renew it after obtaining the RP.	Good
Q70	Q70_C1	Beauty and Style	perfumes	What is the best perfumes for men and women?	chanel...the best ever...	Good
Q70	Q70_C2	Beauty and Style	perfumes	What is the best perfumes for men and women?	The one that is best for me is not necessarily the best for you so this question will not give you the right answer. for me Porsche Design is the best	Good
Q70	Q70_C3	Beauty and Style	perfumes	What is the best perfumes for men and women?	Kenzo, Dior , Gucci, Paco Rabanne, versace	Good
Q70	Q70_C4	Beauty and Style	perfumes	What is the best perfumes for men and women?	Euphoria for women by calvin klien & Lacoste essential for Men sooooooooo sexy... LOVE IT!	Good
Q70	Q70_C5	Beauty and Style	perfumes	What is the best perfumes for men and women?	try HUGO Energized	Good
Q70	Q70_C6	Beauty and Style	perfumes	What is the best perfumes for men and women?	Him : 1 Million by Paco Rabanne, Gucci pour homme 2 Her : Nina Richi Gold edition, Into the blue by Escada	Good
Q70	Q70_C7	Beauty and Style	perfumes	What is the best perfumes for men and women?	"Perfume is a personal matter. It depends on your personality, your look, your mood and especially on your environement (they are the ones who gonna smell it). The perfume you wear at a party may be very inappropriate at work. You should be careful as well beacause some people may have ""allergies"". Go with you feeling."	Good
Q70	Q70_C8	Beauty and Style	perfumes	What is the best perfumes for men and women?	what he loves on me: Givenchy Very Irresistable and Bulgari Omnia. what i love on him: RL Polo Black and Givenchy Neo.	Good
Q70	Q70_C10	Beauty and Style	perfumes	What is the best perfumes for men and women?	Hmm...if you want to have a perfume in z low cost then i would say DOUBLE HORSe or France CLUB N if u want to in moderate ones the ni say VERSACE , PORCHE design , 1001 nights ( atar ) , HUGO or BOSS	Good
Q70	Q70_C11	Beauty and Style	perfumes	What is the best perfumes for men and women?	It differs in taste from person to person..	Good
Q70	Q70_C12	Beauty and Style	perfumes	What is the best perfumes for men and women?	For Men: Curve Crush (Liz Claiborne) For Women: Calvin Klein or Blue Lady	Good
Q71	Q71_C1	Qatar Living Lounge	Handbags - serious question for the ladies	Just been arguing with the hubby.. would like your opinion on the matter.. When chosing handbags, do you go for a brand name or looks and practicality ? Do brand names actually offer value ?	"<a href=""http://www.yescomments.com"" title=""MySpace Comments""><img src=""http://i107.photobucket.com/albums/m282/pure100/com2/smile/smile007.gif"" border=""0"" alt=""myspace comments""></a>"	Good
Q72	Q72_C3	Moving to Qatar	Passport Renewal	Can anybody give me any idea of how long will it take to renew a passport in the Philippine Embassy and how much will it cost me?	passport extension will cost you 200 riyals..good for 3 months...i think.	Good
Q72	Q72_C5	Moving to Qatar	Passport Renewal	Can anybody give me any idea of how long will it take to renew a passport in the Philippine Embassy and how much will it cost me?	30 to 45 days	Good
Q72	Q72_C8	Moving to Qatar	Passport Renewal	Can anybody give me any idea of how long will it take to renew a passport in the Philippine Embassy and how much will it cost me?	for a month? Actually, before they say maximum 45 days, but lately (like what happened to my wife and her friends, almost two months!	Bad
Q73	Q73_C1	Doha Shopping	What will be the best gift for women this christmas ?	"Christmas is around a corner. Then If we think about the gifts then If we want to ""Gift For Her""(mother, sister, girls, girlfriends, wife) then what will be the best options like jewelries, dress, gift cards, ring, diamonds, make up kit etc."	give cash... they will much like that way.	Good
Q73	Q73_C2	Doha Shopping	What will be the best gift for women this christmas ?	"Christmas is around a corner. Then If we think about the gifts then If we want to ""Gift For Her""(mother, sister, girls, girlfriends, wife) then what will be the best options like jewelries, dress, gift cards, ring, diamonds, make up kit etc."	gold always works and chocolate ;)	Good
